"date","strain","image_num","replicate","Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","volume"
"2024may23","petite","001","1",1097.09215,255,0,255,255,9018.98995,665.95129,177.00676,37.60762,37.14304,128.28762,0.44002,279758.49724,255,100,535245,1,1.01251,0.98765,0.85849,27850.0623723403
"2024may23","petite","001","1",2060.90249,255,0,255,255,10004.31447,679.30546,214.48554,53.74186,48.82642,84.73694,0.56295,525530.1356,255,100,1005465,1,1.10067,0.90854,0.89828,81271.2055608549
"2024may23","petite","001","1",902.65752,255,0,255,255,7120.70983,676.85946,159.30483,39.14927,29.35685,112.55323,0.44697,230177.66781,255,100,440385,1,1.33357,0.74987,0.872,31417.3555811105
"2024may23","petite","001","1",1624.46993,255,0,255,255,10838.94319,724.74405,246.2533,49.0592,42.16007,24.42949,0.33663,414239.83298,255,100,792540,1,1.16364,0.85937,0.85034,61824.4139409576
"2024may23","petite","001","1",1760.3651,255,0,255,255,5641.59548,762.98054,210.74669,52.11899,43.0048,171.24473,0.49807,448893.10086,255,100,858840,1,1.21193,0.82513,0.87186,74128.7361020076
"2024may23","petite","001","1",1805.83772,255,0,255,255,6183.17826,779.29284,215.93147,49.90965,46.06853,76.77683,0.48669,460488.61742,255,100,881025,1,1.08338,0.92304,0.85605,65095.6840734404
"2024may23","petite","001","1",1347.97553,255,0,255,255,5492.50527,779.42553,169.60172,43.15583,39.76974,143.6815,0.58889,343733.76102,255,100,657645,1,1.08514,0.92154,0.88809,42084.0030361579
"2024may23","petite","001","1",1045.87012,255,0,255,255,7190.75717,813.75598,163.46719,41.87868,31.79764,65.03616,0.49184,266696.88089,255,100,510255,1,1.31704,0.75928,0.86306,38457.192450232
"2024may23","petite","001","1",1160.85834,255,0,255,255,10153.30816,814.50823,171.32582,42.56599,34.72375,127.90086,0.49699,296018.87679,255,100,566355,1,1.22585,0.81576,0.85588,40381.9083065107
"2024may23","petite","001","1",1329.68195,255,0,255,255,6936.92335,837.89138,178.97894,42.36387,39.96338,73.01985,0.52162,339068.89804,255,100,648720,1,1.06007,0.94334,0.85613,39809.3881101758
"2024may23","petite","001","1",1673.60126,255,0,255,255,11097.27715,841.11974,239.34442,53.66169,39.7098,18.59865,0.36713,426768.32214,255,100,816510,1,1.35135,0.74,0.85148,80908.0362661911
"2024may23","petite","001","1",1847.12894,255,0,255,255,11220.64512,913.23717,236.02907,52.34868,44.9264,13.27421,0.41665,471017.87959,255,100,901170,1,1.16521,0.85821,0.879,75113.1245086489
"2024may23","petite","001","1",1421.67253,255,0,255,255,8411.24053,964.16096,184.16371,48.16321,37.58324,7.13468,0.52675,362526.49476,255,100,693600,1,1.28151,0.78033,0.85656,58498.5222040242
"2024may23","petite","001","1",1692.41752,255,0,255,255,11147.54605,1004.73132,208.87727,55.05143,39.14255,1.01524,0.48746,431566.46692,255,100,825690,1,1.40643,0.71102,0.87703,87358.3526935077
"2024may23","petite","001","1",1790.1575,255,0,255,255,10430.82015,1032.91385,230.3907,51.25884,44.46646,93.41157,0.42381,456490.16344,255,100,873375,1,1.15275,0.86749,0.8268,70518.8049046397
"2024may23","petite","001","1",1206.33095,255,0,255,255,5437.87318,1129.6049,162.97102,41.38657,37.11224,75.22869,0.57076,307614.39335,255,100,588540,1,1.11517,0.89672,0.89666,37117.3469771777
"2024may23","petite","001","1",1197.96817,255,0,255,255,9335.60883,1157.52362,176.65592,40.44342,37.71443,111.67786,0.48239,305481.88455,255,100,584460,1,1.07236,0.93252,0.80775,34637.1573806473
"2024may23","petite","001","1",1598.85892,255,0,255,255,4161.86675,1275.58735,186.91024,47.54241,42.81925,19.91786,0.57511,407709.0248,255,100,780045,1,1.1103,0.90065,0.86486,56265.5024394408
"2024may23","petite","001","1",1330.7273,255,0,255,255,3738.14142,1278.26655,183.06863,50.17882,33.76593,3.43193,0.49897,339335.46164,255,100,649230,1,1.48608,0.67291,0.84402,66154.5858773415
"2024may23","petite","001","1",1987.2055,255,0,255,255,10770.96191,1317.7992,204.5395,52.32967,48.35094,28.43764,0.5969,506737.40187,255,100,969510,1,1.08229,0.92397,0.89924,75031.3240489724
"2024may23","petite","001","1",2044.69961,255,0,255,255,4487.57267,1342.76159,222.066,59.60925,43.6743,7.52914,0.52104,521398.39982,255,100,997560,1,1.36486,0.73268,0.87752,110902.055372685
"2024may23","petite","001","1",978.44521,255,0,255,255,6023.66033,1429.79709,157.50807,39.61696,31.44601,100.85249,0.49561,249503.52875,255,100,477360,1,1.25984,0.79375,0.87191,32556.8263592451
"2024may23","petite","001","1",67.42491,255,0,255,255,7434.37002,1420.42653,34.48418,9.74179,8.81235,35.48167,0.71251,17193.35214,255,100,32895,1,1.10547,0.90459,0.86,484.077517313701
"2024may23","petite","001","1",2185.82151,255,0,255,255,5727.39201,1448.6439,219.39214,56.68913,49.09362,172.79581,0.57067,557384.48569,255,100,1066410,1,1.15471,0.86601,0.88667,95388.9346209387
"2024may23","petite","001","1",1150.92754,255,0,255,255,6177.86955,1479.84463,149.40135,40.56951,36.12088,161.84267,0.64796,293486.5226,255,100,561510,1,1.12316,0.89035,0.91445,34962.1320872543
"2024may23","petite","001","1",883.84127,255,0,255,255,11940.92594,1570.94056,187.15832,37.38556,30.10097,60.93327,0.31708,225379.52303,255,100,431205,1,1.242,0.80515,0.7913,27359.6346291531
"2024may23","petite","001","1",974.26382,255,0,255,255,5844.56996,1588.46065,149.57677,41.61764,29.80638,160.25063,0.54722,248437.27435,255,100,475320,1,1.39627,0.7162,0.9042,37742.5265982444
"2024may23","petite","001","1",1569.58919,255,0,255,255,9837.57857,1624.94205,186.03314,48.94071,40.83437,152.77993,0.56992,400245.24403,255,100,765765,1,1.19852,0.83436,0.85665,61377.5316441144
"2024may23","petite","001","1",1357.90633,255,0,255,255,9748.52283,1714.2854,173.19525,46.4425,37.22754,111.28136,0.56886,346266.11522,255,100,662490,1,1.24753,0.80158,0.87978,52449.9878130954
"2024may23","petite","001","1",729.65252,255,0,255,255,7263.13549,1708.81492,126.79284,33.51841,27.71678,105.34227,0.57034,186061.39216,255,100,355980,1,1.20932,0.82691,0.90473,19717.3637863233
"2024may23","petite","001","1",1439.96611,255,0,255,255,5397.03598,1729.39056,169.25088,48.6958,37.65051,154.98716,0.63168,367191.35774,255,100,702525,1,1.29336,0.77318,0.90729,60460.6953240409
"2024may23","petite","001","1",1458.78236,255,0,255,255,12349.05599,1760.84074,188.85232,52.2662,35.53692,120.36224,0.51399,371989.50253,255,100,711705,1,1.47076,0.67992,0.90426,74758.641396067
"2024may23","petite","001","1",1066.77707,255,0,255,255,10897.75023,1764.06516,174.04225,45.38729,29.92606,108.48049,0.44256,272028.15287,255,100,520455,1,1.51665,0.65935,0.85955,48955.4875231804
"2024may23","petite","001","1",1725.34596,255,0,255,255,3852.74005,1928.9241,208.59909,52.12167,42.14713,152.40424,0.49827,439963.22029,255,100,841755,1,1.23666,0.80863,0.87688,74140.1719660818
"2024may23","petite","001","1",725.9938,255,0,255,255,4725.51366,1954.44179,120.48288,32.37019,28.55603,69.81116,0.62848,185128.41957,255,100,354195,1,1.13357,0.88217,0.90933,17759.648581652
"2024may23","petite","001","1",1976.75202,255,0,255,255,11556.11019,2018.15161,243.18603,51.52589,48.84688,114.16277,0.42003,504071.76588,255,100,964410,1,1.05485,0.94801,0.86813,71626.7306235436
"2024may23","petite","001","1",889.068,255,0,255,255,6516.29395,2014.88277,166.53445,39.76916,28.46418,72.68298,0.40284,226712.34102,255,100,433755,1,1.39717,0.71573,0.84774,32933.4991266756
"2024may23","petite","001","1",2100.10302,255,0,255,255,7342.22414,2031.05008,222.38674,64.93676,41.17751,100.23517,0.53362,535526.27057,255,100,1024590,1,1.577,0.63412,0.86558,143374.022451825
"2024may23","petite","001","1",1929.71139,255,0,255,255,5355.38906,2060.88419,192.41575,55.01218,44.66256,55.27838,0.65497,492076.40392,255,100,941460,1,1.23173,0.81187,0.91183,87171.634313103
"2024may23","petite","001","1",1513.6631,255,0,255,255,5250.53334,2076.88943,165.58469,45.11451,42.7192,170.54745,0.69374,385984.09148,255,100,738480,1,1.05607,0.94691,0.91241,48078.1066553766
"2024may23","petite","001","1",1996.09095,255,0,255,255,6454.06895,2086.65537,237.22692,56.40016,45.06196,92.21694,0.44572,509003.19246,255,100,973845,1,1.25161,0.79897,0.87955,93937.6367979254
"2024may23","petite","001","1",1784.40809,255,0,255,255,12527.07606,2109.96033,228.44862,53.39075,42.55379,179.24561,0.42966,455024.06364,255,100,870570,1,1.25466,0.79703,0.87876,79688.6899225643
"2024may23","petite","001","1",1180.71994,255,0,255,255,9002.51697,2114.02967,156.48565,44.77148,33.57806,78.30467,0.60591,301083.58517,255,100,576045,1,1.33336,0.74999,0.89554,46989.7327779164
"2024may23","petite","001","1",736.44728,255,0,255,255,2523.73614,2178.34,142.62533,31.54027,29.72941,99.51332,0.45494,187794.05556,255,100,359295,1,1.06091,0.94259,0.85059,16428.3838892862
"2024may23","petite","001","1",2111.07917,255,0,255,255,4866.09468,2230.255,227.32344,55.24599,48.65348,96.21764,0.51336,538325.18836,255,100,1029945,1,1.1355,0.88067,0.88381,88287.8424360228
"2024may23","petite","001","1",1345.88484,255,0,255,255,12608.1651,2225.16164,178.02918,48.09825,35.62778,9.04172,0.53362,343200.63383,255,100,656625,1,1.35002,0.74073,0.89472,58262.1421342247
"2024may23","petite","001","1",1190.65074,255,0,255,255,6313.14466,2231.50149,142.94608,43.71687,34.67732,149.7084,0.73223,303615.93936,255,100,580890,1,1.26068,0.79323,0.92433,43746.7508617861
"2024may23","petite","001","1",1271.1425,255,0,255,255,10895.01161,2310.63279,186.1359,44.14694,36.66095,61.98407,0.46105,324141.33649,255,100,620160,1,1.20419,0.83043,0.85124,45050.585654211
"2024may23","petite","001","1",2246.45166,255,0,255,255,13090.92482,2324.26356,238.92092,60.25652,47.46824,36.97001,0.49454,572845.17444,255,100,1095990,1,1.26941,0.78777,0.89161,114554.132533398
"2024may23","petite","001","1",1096.0468,255,0,255,255,11693.25524,2336.69571,175.48817,43.01235,32.44487,59.25436,0.44724,279491.93364,255,100,534735,1,1.32571,0.75432,0.8305,41665.6475242387
"2024may23","petite","001","1",88.33186,255,0,255,255,6254.32304,2328.62351,36.10552,12.46227,9.02465,44.38955,0.85149,22524.62412,255,100,43095,1,1.38091,0.72416,0.89182,1013.42144664312
"2024may23","petite","001","1",1089.25204,255,0,255,255,5159.19328,2398.50755,175.80892,39.58723,35.03349,148.85235,0.44285,277759.27025,255,100,531420,1,1.12998,0.88497,0.86383,32483.5858881435
"2024may23","petite","001","1",2355.69047,255,0,255,255,13276.15277,2462.59219,338.4592,78.59078,38.16425,56.0155,0.25841,600701.07054,255,100,1149285,1,2.05928,0.48561,0.82735,254163.638820777
"2024may23","petite","001","1",2037.90485,255,0,255,255,12708.69643,2452.86216,267.27057,53.4896,48.50927,174.93707,0.3585,519665.73642,255,100,994245,1,1.10267,0.90689,0.83099,80132.1274232483
"2024may23","petite","001","1",1505.30032,255,0,255,255,12364.86941,2448.09742,194.81144,44.12155,43.43927,93.04704,0.49843,383851.58269,255,100,734400,1,1.01571,0.98454,0.8722,44972.9012225134
"2024may23","petite","001","1",1479.16664,255,0,255,255,3567.10999,2556.12919,177.18218,45.21192,41.65569,165.16028,0.59209,377187.49271,255,100,721650,1,1.08537,0.92134,0.89642,48390.2063106974
"2024may23","petite","001","1",1533.00203,255,0,255,255,8014.25272,2576.04183,208.52643,46.42907,42.04001,36.96889,0.44303,390915.51806,255,100,747915,1,1.1044,0.90547,0.86775,52404.499327746
"2024may23","petite","001","1",1567.4985,255,0,255,255,5625.5901,2625.61623,190.89717,49.8819,40.01052,42.82723,0.54053,399712.11683,255,100,764745,1,1.24672,0.8021,0.87639,64987.1639145504
"2024may23","petite","001","1",2052.01704,255,0,255,255,2583.04794,2640.18697,207.08051,58.24404,44.85797,88.422,0.60133,523264.34501,255,100,1001130,1,1.29841,0.77017,0.91165,103455.383915096
"2024may23","petite","001","1",1298.32153,255,0,255,255,7189.84813,2705.21817,204.5395,45.9517,35.97417,130.15475,0.38998,331071.99007,255,100,633420,1,1.27735,0.78287,0.80597,50804.6391465815
"2024may23","petite","001","1",1115.9084,255,0,255,255,5411.36666,2703.32151,180.60028,42.80198,33.19516,60.95739,0.42993,284556.64203,255,100,544425,1,1.2894,0.77555,0.84454,41057.2825604456
"2024may23","petite","001","1",574.9411,255,0,255,255,3884.92775,2732.33543,110.85758,30.00191,24.39971,97.65769,0.5879,146609.9795,255,100,280500,1,1.2296,0.81327,0.89069,14139.8673119561
"2024may23","petite","001","1",1651.64897,255,0,255,255,5039.38238,2785.67969,180.07402,49.63513,42.36807,70.80573,0.64007,421170.48656,255,100,805800,1,1.17152,0.85359,0.89518,64027.436391416
"2024may23","petite","001","1",1444.67017,255,0,255,255,13222.74351,2792.73463,184.33913,48.3279,38.06106,172.15026,0.53425,368390.89394,255,100,704820,1,1.26975,0.78756,0.89493,59100.6686699607
"2024may23","petite","001","1",1977.2747,255,0,255,255,3551.84726,2804.05941,230.77164,55.18717,45.61829,33.31861,0.46656,504205.04767,255,100,964665,1,1.20976,0.82661,0.84404,88006.1443177387
"2024may23","petite","001","1",1337.52206,255,0,255,255,5153.01004,2806.83664,175.83901,43.17686,39.4421,121.58031,0.5436,341068.12503,255,100,652545,1,1.09469,0.9135,0.84847,42145.5561053995
"2024may23","petite","001","1",1656.35303,255,0,255,255,6973.75644,2870.27949,195.41036,48.71861,43.28806,43.24803,0.54509,422370.02275,255,100,808095,1,1.12545,0.88853,0.90054,60545.6978023289
"2024may23","petite","001","1",2075.01468,255,0,255,255,13558.64633,2891.02087,277.49479,58.63772,45.05616,64.00404,0.33863,529128.74419,255,100,1012350,1,1.30144,0.76838,0.82916,105567.405562145
"2024may23","petite","001","1",1086.63867,255,0,255,255,13672.96513,2899.62284,200.69789,39.6559,34.88892,53.10886,0.33901,277092.86125,255,100,530145,1,1.13663,0.87979,0.82911,32652.9222732011
"2024may23","petite","001","1",1202.67224,255,0,255,255,2444.21766,2911.43759,173.96959,44.23122,34.62012,24.65298,0.49936,306681.42075,255,100,586755,1,1.27762,0.78271,0.85049,45309.0939325226
"2024may23","petite","001","1",1377.24526,255,0,255,255,9265.23786,2923.1132,258.59503,44.99388,38.97337,47.29314,0.25881,351197.5418,255,100,671925,1,1.15448,0.86619,0.79439,47693.4741948925
"2024may23","petite","001","1",1180.71994,255,0,255,255,2642.65074,2960.31035,165.61479,39.99894,37.58448,11.37555,0.54095,301083.58517,255,100,576045,1,1.06424,0.93964,0.86701,33507.6576383181
"2024may23","petite","001","1",1118.52177,255,0,255,255,12625.19629,2962.77099,187.47906,43.18903,32.97472,59.00635,0.3999,285223.05102,255,100,545700,1,1.30976,0.7635,0.8348,42181.2040892469
"2024may23","petite","001","1",813.80299,255,0,255,255,3747.64275,3021.73899,145.76526,38.28764,27.06268,97.42261,0.48131,207519.76189,255,100,397035,1,1.41478,0.70683,0.81327,29388.2967020232
"2024may23","petite","001","1",1807.40574,255,0,255,255,11932.446,3043.64314,212.8642,50.24619,45.7997,27.40798,0.50126,460888.46282,255,100,881790,1,1.09709,0.91151,0.88158,66421.4008921409
"2024may23","petite","001","1",1132.63396,255,0,255,255,9748.55849,3108.70543,189.30592,41.7997,34.50059,35.85967,0.39717,288821.65961,255,100,552585,1,1.21156,0.82538,0.84483,38240.0205299295
"2024may23","petite","001","1",1229.85127,255,0,255,255,3964.14918,3142.5463,192.02235,45.18596,34.65446,18.38996,0.41914,313612.07433,255,100,600015,1,1.3039,0.76693,0.85207,48306.8993909346
"2024may23","petite","001","1",1542.41016,255,0,255,255,1692.85272,3174.70729,202.67007,48.16034,40.77749,120.12961,0.47188,393314.59045,255,100,752505,1,1.18105,0.8467,0.86464,58488.0652128183
"2024may23","petite","001","1",1826.22199,255,0,255,255,10175.46451,3316.33449,199.50005,52.05584,44.66777,6.0524,0.5766,465686.60761,255,100,890970,1,1.1654,0.85807,0.87394,73859.6080954166
"2024may23","petite","001","1",1898.87364,255,0,255,255,12781.52265,3366.76044,212.68878,50.9312,47.47033,143.76915,0.52749,484212.77774,255,100,926415,1,1.07291,0.93205,0.88761,69175.1880924285
"2024may23","petite","001","1",2274.15337,255,0,255,255,13721.81136,3468.34845,292.15954,65.89801,43.93975,28.3045,0.3348,579909.10982,255,100,1109505,1,1.49974,0.66678,0.80173,149835.776198069
"2024may23","petite","001","1",52.79005,255,0,255,255,4416.1404,3456.84171,30.56991,9.07156,7.40935,96.19253,0.70986,13461.46175,255,100,25755,1,1.22434,0.81677,0.88596,390.880994358545
"2024may23","petite","001","1",1621.85656,255,0,255,255,6346.7522,3486.64903,215.25989,48.43274,42.63669,107.61853,0.43984,413573.42398,255,100,791265,1,1.13594,0.88033,0.89192,59486.1332988779
"2024may23","petite","001","1",1325.50056,255,0,255,255,12744.47018,3482.85095,186.9829,47.0678,35.85635,7.61818,0.47642,338002.64364,255,100,646680,1,1.31268,0.7618,0.862,54597.1936950245
"2024may23","petite","001","1",1879.53471,255,0,255,255,6403.53639,3500.79501,232.36289,53.28472,44.91152,6.71505,0.43745,479281.35116,255,100,916980,1,1.18644,0.84286,0.86745,79214.8649783976
"2024may23","petite","001","1",1010.32831,255,0,255,255,4706.49254,3593.07868,154.0173,36.99247,34.77437,141.14086,0.53522,257633.71852,255,100,492915,1,1.06379,0.94004,0.87944,26505.6594116925
"2024may23","petite","001","1",1691.37217,255,0,255,255,1417.23273,3599.65526,227.17811,50.23145,42.87199,156.10975,0.41183,431299.90332,255,100,825180,1,1.17166,0.85349,0.83531,66362.9627737263
"2024may23","petite","001","1",64.28887,255,0,255,255,2458.67837,3591.61237,30.39449,10.50119,7.79484,41.90924,0.87449,16393.66134,255,100,31365,1,1.3472,0.74228,0.92481,606.337140510197
"2024may23","petite","001","1",1699.21228,255,0,255,255,14143.07465,3621.10459,239.44718,49.03752,44.11936,54.05792,0.37242,433299.13032,255,100,829005,1,1.11147,0.89971,0.8703,61742.4867351022
"2024may23","petite","001","1",1432.126,255,0,255,255,1939.3592,3657.8053,191.32067,51.67972,35.28346,94.46165,0.49166,365192.13075,255,100,698700,1,1.4647,0.68273,0.88644,72270.1703299928
"2024may23","petite","001","1",1131.58861,255,0,255,255,13790.30329,3665.93962,173.01983,42.65689,33.7761,121.11648,0.47501,288555.09601,255,100,552075,1,1.26293,0.79181,0.87,40641.1688020064
"2024may23","petite","001","1",1971.00261,255,0,255,255,4158.64223,3696.79294,223.08842,52.1272,48.14298,63.39624,0.49767,502605.66608,255,100,961605,1,1.08276,0.92357,0.89128,74163.7728207055
"2024may23","petite","001","1",1586.83743,255,0,255,255,12010.99969,3706.39092,199.99621,49.41912,40.88345,164.13702,0.49854,404643.54342,255,100,774180,1,1.20878,0.82728,0.86177,63195.1349263821
"2024may23","petite","001","1",1975.70668,255,0,255,255,1775.86149,3716.33698,216.53039,56.6779,44.38322,145.2426,0.52953,503805.20228,255,100,963900,1,1.27701,0.78308,0.86568,95332.2567952016
"2024may23","petite","001","1",1825.17664,255,0,255,255,6443.97007,3724.17525,206.72967,48.93411,47.49013,84.43044,0.53667,465420.04401,255,100,890460,1,1.03041,0.97049,0.8753,61352.7034132714
"2024may23","petite","001","1",1059.45964,255,0,255,255,9836.19076,3757.81102,170.55148,40.48925,33.31615,178.85586,0.4577,270162.20768,255,100,516885,1,1.2153,0.82284,0.85186,34755.0421032035
"2024may23","petite","001","1",1714.36981,255,0,255,255,2477.28339,3769.77109,210.74669,53.75384,40.60739,49.74709,0.48506,437164.3025,255,100,836400,1,1.32375,0.75543,0.88445,81325.5679944037
"2024may23","petite","001","1",1201.10422,255,0,255,255,9579.31552,3779.37673,210.04501,42.7585,35.76584,35.93023,0.34211,306281.57535,255,100,585990,1,1.19551,0.83646,0.84672,40932.2866272778
"2024may23","petite","001","1",805.96288,255,0,255,255,10055.37147,3780.48525,170.90232,36.30566,28.26512,104.56172,0.34676,205520.5349,255,100,393210,1,1.28447,0.77853,0.80042,25056.5706261828
"2024may23","petite","001","1",1778.65868,255,0,255,255,5576.37145,3812.64534,193.96444,49.78554,45.48828,81.42401,0.5941,453557.96385,255,100,867765,1,1.09447,0.91368,0.91307,64611.2716235335
"2024may23","petite","001","1",1957.4131,255,0,255,255,6759.52375,3828.23692,289.34036,52.279,47.67222,29.6579,0.29382,499140.33929,255,100,954975,1,1.09663,0.91188,0.8449,74813.5800548876
"2024may23","petite","001","1",1612.44844,255,0,255,255,12209.91776,3833.06938,197.77595,46.07256,44.56086,13.24081,0.51802,411174.35159,255,100,786675,1,1.03392,0.96719,0.87419,51206.5663422688
"2024may23","petite","001","1",861.3663,255,0,255,255,13336.15863,3854.57422,150.95004,39.71927,27.61192,96.95884,0.47504,219648.40565,255,100,420240,1,1.43848,0.69518,0.8617,32809.7103460281
"2024may23","petite","001","1",134.32715,255,0,255,255,1648.73683,3863.03933,61.98683,16.11702,10.6118,176.70654,0.43931,34253.42248,255,100,65535,1,1.51878,0.65842,0.79938,2192.06211766668
"2024may23","petite","001","1",2306.03647,255,0,255,255,3177.01765,3916.16479,229.01744,61.98757,47.36654,152.39882,0.55251,588039.29959,255,100,1125060,1,1.30868,0.76413,0.90456,124713.209943294
"2024may23","petite","001","1",1379.85863,255,0,255,255,10663.45966,3926.28297,159.02666,44.22846,39.72308,126.61008,0.68565,351863.9508,255,100,673200,1,1.11342,0.89813,0.92018,45300.6126858252
"2024may23","petite","001","1",1817.85921,255,0,255,255,4202.23692,3934.43778,211.24286,53.51966,43.2471,59.38646,0.51192,463554.09881,255,100,886890,1,1.23753,0.80806,0.88986,80267.3009344519
"2024may23","petite","001","1",305.24145,255,0,255,255,9671.23417,3979.26082,94.84966,32.88755,11.8174,161.54618,0.42637,77836.57093,255,100,148920,1,2.78298,0.35933,0.81907,18624.8672689033
"2024may23","petite","001","1",1240.30475,255,0,255,255,4946.74436,3999.68425,172.84441,46.01014,34.32298,158.60776,0.52171,316277.71032,255,100,605115,1,1.34051,0.74599,0.87743,50998.7212345586
"2024may23","petite","001","1",927.74586,255,0,255,255,1849.36045,4011.6438,144.14392,35.95711,32.85144,107.97903,0.56111,236575.19419,255,100,452625,1,1.09454,0.91363,0.8844,24341.8150522484
"2024may23","petite","001","1",3113.0447,255,0,255,255,1159.18181,4045.28744,352.07143,98.2889,40.32654,67.90652,0.3156,793826.39808,255,100,1518780,1,2.43733,0.41029,0.77775,497178.164167984
"2024may23","petite","001","1",1440.48878,255,0,255,255,9925.53482,4070.33039,188.00532,43.99126,41.69209,38.92885,0.51213,367324.63954,255,100,702780,1,1.05515,0.94774,0.87743,44575.6645005888
"2024may23","petite","001","1",90.42255,255,0,255,255,2158.86624,4071.80219,42.48814,12.77207,9.01417,64.69456,0.62944,23057.75132,255,100,44115,1,1.41689,0.70577,0.84185,1090.89384815683
"2024may23","petite","001","1",1054.75557,255,0,255,255,12928.07334,4102.46592,167.41155,38.15837,35.19428,106.80367,0.47292,268962.67148,255,100,514590,1,1.08422,0.92232,0.86535,29091.63075784
"2024may23","petite","001","1",1914.03118,255,0,255,255,2940.15385,4157.76184,190.22559,55.78316,43.68738,16.56743,0.66469,488077.94993,255,100,933810,1,1.27687,0.78316,0.91779,90888.2957085973
"2024may23","petite","001","1",2191.04825,255,0,255,255,4319.25853,4186.47933,224.75233,58.74196,47.49125,110.61961,0.54507,558717.30369,255,100,1068960,1,1.2369,0.80847,0.86273,106131.407043924
"2024may23","petite","001","1",1898.87364,255,0,255,255,11067.01652,4177.58843,191.04249,54.97473,43.97877,3.32782,0.6538,484212.77774,255,100,926415,1,1.25003,0.79998,0.91835,86993.7270303421
"2024may23","petite","001","1",1372.01852,255,0,255,255,5226.01537,4342.08926,169.28098,43.73472,39.94328,162.25664,0.60166,349864.7238,255,100,669375,1,1.09492,0.91331,0.9047,43800.3593465582
"2024may23","petite","001","1",757.35423,255,0,255,255,14618.9828,4368.40171,138.11214,34.6298,27.84577,113.10186,0.49894,193125.32754,255,100,369495,1,1.24363,0.8041,0.84171,21744.4572682007
"2024may23","petite","001","1",1340.6581,255,0,255,255,14069.39458,4412.98501,220.72284,41.89198,40.74715,33.90977,0.34581,341867.81583,255,100,654075,1,1.0281,0.97267,0.84333,38493.8442583744
"2024may23","petite","001","1",1054.75557,255,0,255,255,13855.64476,4441.16061,190.96983,39.69526,33.83166,72.19615,0.36344,268962.67148,255,100,514590,1,1.17332,0.85228,0.80785,32750.2466364227
"2024may23","petite","001","1",1401.28825,255,0,255,255,10002.50335,4450.09033,205.88266,47.7366,37.37542,85.78999,0.41543,357328.50458,255,100,683655,1,1.27722,0.78295,0.86582,56957.7824962967
"2024may23","petite","001","1",1787.02146,255,0,255,255,8915.51414,4459.02722,225.23603,52.37859,43.43963,129.33101,0.44265,455690.47264,255,100,871845,1,1.20578,0.82934,0.86601,75241.9482404549
"2024may23","petite","001","1",1505.30032,255,0,255,255,9378.51465,4508.79351,188.85232,47.90697,40.00687,160.07162,0.53038,383851.58269,255,100,734400,1,1.19747,0.83509,0.87035,57569.8016654485
"2024may23","petite","001","1",932.44992,255,0,255,255,5197.07675,4556.36282,152.67414,38.44201,30.88371,54.89978,0.50269,237774.73039,255,100,454920,1,1.24473,0.80338,0.85646,29745.1993829053
"2024may23","petite","001","1",1849.21963,255,0,255,255,8172.56769,4608.02674,204.43674,52.07654,45.21229,9.52041,0.55601,471551.00679,255,100,902190,1,1.15182,0.86819,0.89287,73947.7539364601
