"date","strain","image_num","replicate","Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Ch","AR","Round","Solidity"
"2024may23","petite","001","1",19.05194,855.4335,160.98822,656,1890,233.68121,36.82931,16.50351,5.46437,4.43924,118.51002,0.87902,16297.66651,803,100,3048765,1,1.23092,0.8124,0.98671
"2024may23","petite","001","1",21.00845,1821.53308,670.06229,1383,5674,38.71546,38.64735,17.44145,5.44841,4.90946,62.78524,0.86784,38267.58801,1584,100,7158625,1,1.10978,0.90108,0.98348
"2024may23","petite","001","1",12.85632,1240.71684,182.64586,995,2574,169.9325,38.9317,13.55082,4.30037,3.80646,41.2052,0.87982,15951.04846,1183,100,2983924,1,1.12976,0.88515,0.98525
"2024may23","petite","001","1",15.66813,1544.50017,415.71149,1228,3886,173.93435,41.4322,15.14463,4.93875,4.03934,87.59493,0.85844,24199.43665,1403,100,4526930,1,1.22266,0.81789,0.98306
"2024may23","petite","001","1",14.32103,1163.67301,133.82051,967,1604,126.73908,56.41162,14.6882,4.7806,3.81419,70.76608,0.83415,16664.99366,1121,100,3117480,1,1.25337,0.79785,0.98042
"2024may23","petite","001","1",15.04269,1648.55579,466.51214,1128,3381,125.58395,61.20873,14.82404,4.53361,4.22466,69.68247,0.86021,24798.71741,1499,100,4639036,1,1.07313,0.93185,0.97742
"2024may23","petite","001","1",17.67276,2437.89141,833.69632,1519,5298,19.71104,61.90567,16.022,5.21405,4.31558,63.53395,0.86513,43084.26447,2093,100,8059669,1,1.20819,0.82768,0.98261
"2024may23","petite","001","1",14.92509,2001.9452,293.50188,1675,3827,14.69938,64.65983,14.94518,4.52656,4.19815,16.72072,0.8397,29879.20763,1908,100,5589431,1,1.07823,0.92745,0.97418
"2024may23","petite","001","1",13.76508,1638.53437,330.48508,1328,3696,10.70519,66.70136,13.97176,4.38553,3.99638,18.68615,0.88611,22554.55514,1551,100,4219226,1,1.09737,0.91127,0.98565
"2024may23","petite","001","1",15.11219,1328.90449,231.59783,1035,1897,127.90434,67.34631,15.16972,5.13917,3.74408,168.80429,0.82524,20082.65164,1231,100,3756813,1,1.37261,0.72854,0.97956
"2024may23","petite","001","1",14.64177,2175.9299,558.02943,1761,6227,92.24539,71.31583,14.88461,4.85651,3.83866,127.43663,0.83048,31859.45992,1990,100,5959872,1,1.26516,0.79042,0.97214
"2024may23","petite","001","1",14.62038,2444.82377,492.67954,1787,5284,98.20868,71.36923,14.44592,4.61714,4.03177,43.33997,0.8804,35744.26459,2289,100,6686593,1,1.14519,0.87322,0.98647
"2024may23","petite","001","1",21.5644,4183.70278,1326.84339,2628,8404,95.32531,75.62554,17.58033,5.80357,4.73099,160.81754,0.87679,90219.03844,3813,100,16877057,1,1.22671,0.81519,0.98812
"2024may23","petite","001","1",12.55696,2377.4155,385.20603,1975,4406,23.0865,75.25502,13.92158,4.66053,3.43052,152.07207,0.81417,29853.11011,2238,100,5584549,1,1.35855,0.73608,0.97408
"2024may23","petite","001","1",13.9896,2295.47153,528.03042,1731,4669,34.4479,75.96778,14.22139,4.54367,3.9202,61.36165,0.86922,32112.72134,2078,100,6007249,1,1.15904,0.86278,0.98346
"2024may23","petite","001","1",18.55479,2771.01325,716.84808,2128,5343,27.84144,77.02167,16.60691,5.25852,4.49265,143.88328,0.84545,51415.57457,2459,100,9618187,1,1.17047,0.85436,0.97678
"2024may23","petite","001","1",17.05801,3564.61579,787.34906,2400,6365,32.13657,80.13968,15.69406,4.89074,4.44083,157.43279,0.8703,60805.24016,3323,100,11374689,1,1.10131,0.90801,0.97883
"2024may23","petite","001","1",15.80712,2349.17957,229.53275,2043,4103,22.61366,86.46313,15.0131,4.81512,4.17981,13.72275,0.8813,37133.7678,2299,100,6946524,1,1.152,0.86806,0.98567
"2024may23","petite","001","1",15.27256,2417.13756,242.48001,2121,3622,30.10534,86.65506,14.87726,5.04199,3.85674,2.19814,0.86711,36915.86794,2348,100,6905762,1,1.30732,0.76492,0.98568
"2024may23","petite","001","1",14.68453,1427.51037,206.63489,1104,2527,304.06807,86.85081,14.4031,4.55684,4.10304,158.41087,0.88953,20962.32305,1371,100,3921371,1,1.1106,0.90041,0.986
"2024may23","petite","001","1",17.9935,3113.84135,630.75471,2469,5452,17.34953,87.4338,15.98652,5.12086,4.47387,59.97056,0.88474,56028.89672,2875,100,10481190,1,1.14462,0.87366,0.98724
"2024may23","petite","001","1",17.29856,2717.70087,281.01133,2069,3839,11.87552,88.0262,15.77237,4.99012,4.41377,124.65109,0.87383,47012.31555,2658,100,8794480,1,1.13058,0.8845,0.98374
"2024may23","petite","001","1",14.15531,2099.12349,609.8941,1575,4374,308.23393,89.89558,14.48141,4.54996,3.96115,139.1664,0.84822,29713.74871,1805,100,5558479,1,1.14865,0.87059,0.97965
"2024may23","petite","001","1",18.36769,3709.51513,934.16622,2817,7789,14.05819,92.96202,16.35728,5.31972,4.39618,170.81347,0.86267,68135.23832,3312,100,12745894,1,1.21008,0.82639,0.9858
"2024may23","petite","001","1",22.16846,5275.22763,907.24871,3873,7976,19.64372,94.24022,17.81221,5.80865,4.85927,179.06796,0.87803,116943.66949,5157,100,21876369,1,1.19537,0.83656,0.98644
"2024may23","petite","001","1",21.23831,2161.83363,627.57349,1434,5213,311.326,94.62388,17.54485,5.81767,4.64816,117.66264,0.86702,45913.70187,1941,100,8588965,1,1.25161,0.79897,0.98281
"2024may23","petite","001","1",14.6578,2675.35886,571.983,2049,5174,11.66142,97.04605,14.47101,4.4739,4.17151,77.61024,0.87959,39214.88739,2483,100,7335834,1,1.07249,0.93241,0.98456
"2024may23","petite","001","1",17.53912,3384.78604,888.73845,2739,7526,22.57703,98.74329,16.08991,5.36322,4.16382,123.93623,0.85135,59366.15594,3046,100,11105483,1,1.28805,0.77637,0.98632
"2024may23","petite","001","1",17.17561,2851.5042,542.37871,2365,6184,16.76224,98.89549,15.87577,5.20982,4.19759,65.46428,0.85635,48976.32772,2657,100,9161883,1,1.24115,0.80571,0.98302
"2024may23","petite","001","1",14.26757,1939.41102,626.00224,1475,5251,310.22283,99.48159,14.36761,4.6774,3.88379,53.67978,0.86854,27670.68489,1691,100,5176288,1,1.20434,0.83033,0.9827
"2024may23","petite","001","1",14.00563,2256.1626,448.27212,1902,4909,26.30724,102.6012,14.32479,4.82643,3.69477,128.95149,0.8577,31598.98721,2130,100,5911146,1,1.30629,0.76553,0.98868
"2024may23","petite","001","1",18.71516,1616.4096,459.94232,1112,3693,299.3624,107.13686,16.40011,5.41458,4.40088,159.1202,0.8744,30251.36726,1427,100,5659050,1,1.23034,0.81278,0.98481
"2024may23","petite","001","1",17.97746,1203.2807,103.68139,1017,1807,307.2907,109.44274,16.14314,5.04598,4.53621,172.1332,0.86689,21631.93134,1177,100,4046633,1,1.11238,0.89898,0.98448
"2024may23","petite","001","1",20.24402,1044.43068,70.74793,849,1484,312.72635,111.67848,17.06333,5.60382,4.59963,163.84482,0.87373,21143.47684,1045,100,3955259,1,1.21832,0.8208,0.98658
"2024may23","petite","001","1",16.27219,1191.97996,219.42804,988,2275,299.66865,112.10956,15.34103,4.87283,4.25182,85.30164,0.86885,19396.12968,1120,100,3628387,1,1.14606,0.87256,0.98241
"2024may23","petite","001","1",17.02059,878.74937,80.97244,728,1505,349.4657,115.4925,15.69406,5.32206,4.07197,154.65962,0.86839,14956.83021,866,100,2797938,1,1.307,0.76511,0.98591
"2024may23","petite","001","1",15.94076,2790.16365,877.59384,2134,7345,73.44538,120.82454,15.19481,4.81229,4.21762,154.71776,0.86762,44477.33859,2477,100,8320268,1,1.14099,0.87643,0.98416
"2024may23","petite","001","1",15.62002,1941.12081,158.91751,1714,2934,68.3426,123.28022,15.00575,5.15223,3.86008,159.58313,0.87172,30320.35302,1903,100,5671955,1,1.33474,0.74921,0.988
"2024may23","petite","001","1",19.01452,3277.71324,1071.32853,2360,6489,77.90781,123.85757,16.58182,5.19463,4.66059,122.86456,0.86902,62324.14046,2763,100,11658826,1,1.11458,0.8972,0.9826
"2024may23","petite","001","1",15.62002,2057.1694,197.32627,1663,3054,122.40658,123.95641,14.87726,4.8074,4.13696,63.76762,0.88684,32133.03485,2021,100,6011049,1,1.16206,0.86054,0.987
"2024may23","petite","001","1",17.72621,2215.08263,597.43534,1578,4367,128.58271,124.49364,16.18596,5.21852,4.32493,143.27672,0.85025,39265.02969,2038,100,7345214,1,1.20661,0.82876,0.98237
"2024may23","petite","001","1",13.59936,1994.82429,263.99109,1567,2892,133.1635,126.19077,14.11064,4.50511,3.84347,163.03573,0.85829,27128.34077,1995,100,5074833,1,1.17215,0.85314,0.98016
"2024may23","petite","001","1",17.21838,1617.5815,371.20649,1276,3990,169.583,127.9261,15.75463,5.15122,4.25591,156.86264,0.87174,27852.12734,1512,100,5210230,1,1.21037,0.82619,0.98366
"2024may23","petite","001","1",22.10431,3066.90399,535.1059,2365,5070,119.31719,128.66393,17.76204,5.72246,4.91818,153.3889,0.88044,67791.80093,2844,100,12681648,1,1.16353,0.85945,0.98652
"2024may23","petite","001","1",14.08047,2345.82536,637.99812,1877,5523,77.33516,128.64073,14.11064,4.50483,3.97968,66.66604,0.88866,33030.33091,2113,100,6178904,1,1.13196,0.88343,0.98781
"2024may23","petite","001","1",14.42794,2277.13005,375.25959,1872,4136,119.92669,133.82432,14.50649,4.75557,3.86289,92.21838,0.86157,32854.29827,2163,100,6145974,1,1.23109,0.81229,0.98468
"2024may23","petite","001","1",14.21411,2479.67055,196.7827,2183,3496,126.31637,133.88776,14.44592,4.94211,3.662,113.42832,0.85593,35246.32154,2430,100,6593444,1,1.34957,0.74098,0.98792
"2024may23","petite","001","1",12.87235,2481.11088,205.40331,2122,3597,141.78129,134.28746,13.55082,4.45307,3.68051,47.6685,0.88092,31937.73645,2418,100,5974515,1,1.2099,0.82651,0.98729
"2024may23","petite","001","1",14.71126,3388.29942,686.1635,2739,6537,132.34078,135.31728,14.67046,4.78168,3.91723,115.11081,0.85896,49846.15777,3128,100,9324600,1,1.22068,0.81922,0.98286
"2024may23","petite","001","1",13.76508,3862.9433,763.58557,3140,7055,137.24141,136.54014,15.57292,4.67072,3.75237,62.75412,0.71326,53173.71996,3533,100,9947079,1,1.24474,0.80338,0.96406
"2024may23","petite","001","1",14.29965,4491.79813,648.40027,3611,8346,29.39809,136.5375,14.47101,4.88109,3.73008,32.40369,0.8581,64231.11977,4315,100,12015560,1,1.30857,0.76419,0.98436
"2024may23","petite","001","1",19.0947,2868.55487,1028.08785,2092,7176,164.69065,138.11763,16.47842,5.3644,4.53213,91.80797,0.88367,54774.20575,2413,100,10246478,1,1.18364,0.84485,0.98674
"2024may23","petite","001","1",14.74334,2954.16497,529.72457,2341,6505,128.84572,138.66079,14.73103,4.98904,3.76261,152.86487,0.85377,43554.24437,2801,100,8147587,1,1.32595,0.75418,0.98623
"2024may23","petite","001","1",19.61858,2295.96158,206.13281,1956,3841,149.43944,141.07697,16.60691,5.38116,4.64196,142.18555,0.89392,45043.50297,2236,100,8426179,1,1.15924,0.86263,0.98962
"2024may23","petite","001","1",14.68453,1713.09465,317.41434,1369,3676,172.38959,141.60614,14.57441,4.8903,3.82327,144.35623,0.86874,25155.99471,1626,100,4705871,1,1.27909,0.78181,0.98353
"2024may23","petite","001","1",14.6578,5096.27608,1172.99049,3834,9951,34.81183,144.30044,14.42084,4.50795,4.13999,68.22998,0.88572,74700.21881,4673,100,13973989,1,1.08888,0.91838,0.98669
"2024may23","petite","001","1",15.90869,3431.65827,686.74346,2810,7446,131.9751,144.99186,15.13424,4.84955,4.1768,77.29978,0.87282,54593.18561,3172,100,10212615,1,1.16107,0.86128,0.98348
"2024may23","petite","001","1",14.21946,3898.07782,913.05867,2947,9375,38.71086,145.40468,14.1963,4.70312,3.84952,83.00348,0.88663,55428.56286,3633,100,10368887,1,1.22174,0.8185,0.98628
"2024may23","petite","001","1",14.33172,2611.28982,264.53211,2215,4124,127.29564,147.93618,14.34253,4.87606,3.74231,40.49412,0.8755,37424.27244,2555,100,7000868,1,1.30296,0.76749,0.98657
"2024may23","petite","001","1",14.45467,2790.12981,236.57379,2442,4623,137.12599,149.09587,14.4031,4.64511,3.96207,86.5379,0.8756,40330.40405,2738,100,7544511,1,1.17239,0.85296,0.98327
"2024may23","petite","001","1",13.53522,2956.79581,382.11548,2475,4842,131.07712,150.50578,14.15347,4.71501,3.65504,70.09826,0.84908,40020.86885,2839,100,7486607,1,1.29,0.77519,0.97798
"2024may23","petite","001","1",19.38872,4541.52716,1153.24693,3243,8692,135.53869,154.06597,16.60691,5.48222,4.503,38.76715,0.88345,88054.37685,4143,100,16472119,1,1.21746,0.82138,0.9895
"2024may23","petite","001","1",17.35202,960.22582,146.93484,794,1815,228.53627,155.82679,15.79746,5.34695,4.13194,145.20205,0.87375,16661.85576,926,100,3116893,1,1.29405,0.77277,0.98723
"2024may23","petite","001","1",13.36415,2659.222,316.74065,2252,4223,148.65443,159.99977,13.92158,4.55654,3.73436,85.01563,0.86651,35538.25348,2588,100,6648055,1,1.22017,0.81956,0.98193
"2024may23","petite","001","1",20.01416,3979.14904,851.42028,3078,10240,147.98458,165.48672,16.92445,5.47104,4.65777,99.17073,0.87805,79639.31628,3685,100,14897934,1,1.17461,0.85135,0.98695
"2024may23","petite","001","1",14.7273,3469.61815,418.88276,2813,5176,144.81314,168.66371,14.74877,4.84022,3.87407,161.90397,0.85079,51098.10106,3323,100,9558798,1,1.24939,0.80039,0.98025
"2024may23","petite","001","1",14.3531,2500.98101,224.56057,2098,3672,134.40239,168.73988,14.28196,4.59342,3.97851,12.51223,0.88426,35896.83512,2454,100,6715134,1,1.15456,0.86613,0.98406
"2024may23","petite","001","1",18.02557,1439.67616,516.13351,983,4107,352.4708,169.53674,16.16822,5.11108,4.49041,52.24252,0.86651,25950.98549,1267,100,4854588,1,1.13822,0.87856,0.98395
"2024may23","petite","001","1",18.11645,2617.018,372.47915,2141,4690,129.3426,170.71858,16.07217,5.23596,4.40541,19.47955,0.88132,47411.06984,2503,100,8869074,1,1.18853,0.84138,0.98718
"2024may23","petite","001","1",16.0851,1119.38252,147.32569,902,2282,347.14493,171.68221,15.12689,4.79398,4.27207,24.68193,0.88335,18005.37559,1080,100,3368222,1,1.12217,0.89113,0.98737
"2024may23","petite","001","1",16.46998,3424.07368,750.04146,2802,8444,144.12419,174.32945,15.41934,5.11424,4.10036,15.30914,0.87051,56394.43841,3179,100,10549571,1,1.24727,0.80175,0.98624
"2024may23","petite","001","1",16.15459,1275.26837,248.03121,1079,3154,350.8734,175.0062,15.15198,4.81309,4.27348,66.94282,0.88423,20601.43743,1209,100,3853861,1,1.12627,0.88789,0.98436
"2024may23","petite","001","1",16.29892,3454.39587,943.2034,2565,8050,149.97541,175.28149,15.28046,5.15522,4.02552,114.51425,0.87719,56302.93138,3153,100,10532453,1,1.28063,0.78086,0.98625
"2024may23","petite","001","1",14.20877,2643.20429,395.11892,2063,4507,6.9315,175.79034,14.65272,4.67762,3.8676,102.94071,0.83163,37556.67914,2513,100,7025637,1,1.20944,0.82683,0.97434
"2024may23","petite","001","1",17.39478,4354.47664,2043.91385,2674,13968,3.42519,177.5748,16.022,4.95404,4.47064,144.34413,0.85152,75745.17808,3432,100,14169467,1,1.10813,0.90242,0.98323
"2024may23","petite","001","1",15.68952,2408.51448,241.47275,2043,3711,135.10603,177.5091,15.14158,5.0076,3.98924,39.04005,0.85996,37788.42962,2334,100,7068990,1,1.25528,0.79664,0.98407
"2024may23","petite","001","1",14.52416,2281.59441,337.50087,1755,4659,15.66361,179.74157,14.41044,4.70509,3.93037,11.109,0.87891,33138.24913,2175,100,6199092,1,1.19711,0.83535,0.98567
"2024may23","petite","001","1",16.21874,3881.97067,1423.38613,2504,9917,10.38484,180.27634,15.35877,4.86939,4.24085,11.39495,0.864,62960.66445,3265,100,11777899,1,1.14821,0.87092,0.98363
"2024may23","petite","001","1",14.98924,6591.66476,1972.39994,4178,14193,6.1184,181.39159,14.98066,4.64122,4.11204,104.90811,0.83932,98804.01622,6162,100,18483028,1,1.12869,0.88598,0.97463
"2024may23","petite","001","1",18.1699,2544.70227,670.96313,1854,6454,7.45087,186.60331,16.16088,5.25829,4.39965,94.07531,0.87424,46236.9968,2290,100,8649443,1,1.19516,0.83671,0.98736
"2024may23","petite","001","1",14.599,3330.45002,449.25161,2585,5224,79.92235,186.97208,14.4031,4.43789,4.18848,85.98961,0.88434,48621.24748,3211,100,9095459,1,1.05955,0.9438,0.98485
"2024may23","petite","001","1",16.25081,2060.36283,412.77557,1752,5261,136.95288,187.95326,15.44443,5.1062,4.05216,125.33404,0.85613,33482.56855,1959,100,6263503,1,1.26012,0.79358,0.98049
"2024may23","petite","001","1",14.51882,1521.98233,190.08768,1231,3004,211.1488,188.5886,14.54932,4.73205,3.90654,17.92544,0.8619,22097.38345,1466,100,4133704,1,1.21131,0.82555,0.98015
"2024may23","petite","001","1",18.357,2169.27839,509.31048,1564,4822,205.82235,189.36051,16.31445,5.3653,4.3563,156.72721,0.8667,39821.44894,2002,100,7449302,1,1.23162,0.81194,0.98607
"2024may23","petite","001","1",18.08437,1188.329,116.72723,950,1830,240.27334,191.1977,15.94369,5.20668,4.42234,147.96453,0.894,21490.18577,1166,100,4020117,1,1.17736,0.84936,0.98947
"2024may23","petite","001","1",18.6724,2752.76124,734.27981,2014,5647,139.85885,192.26871,16.4252,5.04121,4.71602,170.0991,0.86974,51400.64948,2448,100,9615395,1,1.06895,0.93549,0.98394
"2024may23","petite","001","1",13.02738,1809.06689,299.87586,1562,3270,210.55847,192.56288,13.84327,4.56821,3.63095,152.34266,0.85426,23567.39767,1707,100,4408696,1,1.25813,0.79483,0.98425
"2024may23","petite","001","1",14.8449,2162.26395,270.03752,1782,3674,134.50358,192.87238,14.61724,4.49881,4.20136,6.69757,0.87308,32098.5981,2088,100,6004607,1,1.0708,0.93388,0.98093
"2024may23","petite","001","1",19.01986,3373.26419,481.83018,2624,5705,89.0122,197.12129,16.5286,5.49123,4.41009,144.55851,0.87487,64159.02818,3220,100,12002074,1,1.24515,0.80311,0.98478
"2024may23","petite","001","1",17.53912,1615.82597,179.98792,1338,2548,214.19444,198.77581,16.3218,5.92235,3.77072,159.97938,0.82734,28340.15953,1572,100,5301525,1,1.57061,0.63669,0.98499
"2024may23","petite","001","1",16.76934,2986.80172,637.16083,2349,6812,116.71292,199.8783,15.76198,5.1419,4.15243,85.46145,0.84821,50086.69651,2783,100,9369597,1,1.23829,0.80757,0.97863
"2024may23","petite","001","1",16.33634,3785.28305,647.57957,2751,8138,73.02762,199.40496,15.34103,5.15011,4.03876,13.83717,0.87228,61837.6799,3659,100,11567825,1,1.27517,0.78421,0.98724
"2024may23","petite","001","1",15.17633,2788.80662,763.30266,2004,6472,106.91647,202.10188,14.79895,4.71128,4.10146,175.6579,0.87079,42323.86012,2626,100,7917422,1,1.14868,0.87056,0.98457
"2024may23","petite","001","1",17.14888,1535.3245,446.0267,1133,3830,270.3491,202.91093,15.59066,5.06412,4.31163,140.20223,0.88658,26329.10019,1383,100,4925321,1,1.17453,0.85141,0.98677
"2024may23","petite","001","1",17.14354,3590.58029,659.72973,2862,7253,111.62416,203.27683,15.85803,5.0575,4.31593,147.57314,0.85667,61555.2472,3334,100,11514991,1,1.17182,0.85337,0.98148
"2024may23","petite","001","1",18.0523,4278.51377,501.32451,3494,6319,76.78269,203.83282,15.98652,5.15467,4.45904,85.36777,0.88764,77237.0133,4131,100,14448541,1,1.156,0.86505,0.98714
"2024may23","petite","001","1",18.12714,3212.48127,907.97736,2361,7278,80.94906,209.21859,16.04708,5.21175,4.4285,83.50106,0.8846,58233.09482,2913,100,10893524,1,1.17687,0.84971,0.98805
"2024may23","petite","001","1",18.88622,2566.49363,370.97978,2022,5010,76.05791,209.75289,16.65709,5.72131,4.20301,90.13397,0.85538,48471.37116,2473,100,9067422,1,1.36124,0.73462,0.98303
"2024may23","petite","001","1",13.98425,2781.86009,792.28234,2135,7486,115.06505,209.31832,14.2997,4.77734,3.72703,81.35809,0.8594,38902.23032,2446,100,7277346,1,1.28181,0.78015,0.9842
"2024may23","petite","001","1",16.01026,1445.61603,96.21262,1206,2149,46.48745,212.72953,15.15198,4.98511,4.08916,155.65022,0.87633,23144.68412,1435,100,4329620,1,1.2191,0.82027,0.98666
"2024may23","petite","001","1",20.22798,3178.55893,1590.14519,1789,8948,265.83372,216.91909,17.35579,5.82601,4.42071,54.05923,0.84387,64295.8397,2428,100,12027667,1,1.31789,0.75879,0.98337
"2024may23","petite","001","1",15.25652,2186.83462,388.18683,1708,3836,264.4347,222.44775,14.77386,4.58763,4.23426,58.71029,0.87837,33363.48324,2065,100,6241226,1,1.08346,0.92297,0.98363
"2024may23","petite","001","1",13.97356,1474.99847,405.31281,1162,3948,263.08731,227.03868,14.36027,4.73757,3.75545,75.72103,0.85151,20610.97943,1360,100,3855646,1,1.26152,0.79269,0.98363
"2024may23","petite","002","1",16.67846,2783.20128,700.3436,2113,7675,6.06879,9.01241,15.46952,4.99441,4.25189,25.35584,0.87581,46419.52442,2621,100,8683588,1,1.17463,0.85133,0.98578
"2024may23","petite","002","1",11.81926,2807.46269,393.70329,2354,5062,85.19615,13.74813,13.15496,3.96461,3.79577,53.96228,0.85826,33182.12632,2714,100,6207300,1,1.04448,0.95741,0.97875
"2024may23","petite","002","1",16.74796,2692.98021,657.34999,2097,5765,22.84085,15.54418,15.46217,4.99125,4.27231,173.49696,0.8803,45101.92036,2423,100,8437107,1,1.16828,0.85596,0.98662
"2024may23","petite","002","1",13.79715,2373.29097,383.16119,1832,4663,62.36184,15.56036,14.54932,4.438,3.95833,169.77461,0.81906,32744.65875,2255,100,6125464,1,1.12118,0.89192,0.98118
"2024may23","petite","002","1",17.38944,2851.47771,553.43108,2237,5787,67.28108,16.57352,15.71915,5.02548,4.40574,26.96225,0.88438,49585.59417,2672,100,9275857,1,1.14067,0.87668,0.98785
"2024may23","petite","002","1",16.68381,3938.19769,835.27428,3185,7633,82.22837,17.91853,15.47991,4.98231,4.26358,74.54851,0.87492,65704.1436,3628,100,12291115,1,1.16857,0.85574,0.98907
"2024may23","petite","002","1",14.05374,2182.89806,669.89954,1746,6522,27.01619,18.35567,14.15347,4.59823,3.89145,134.2105,0.88161,30677.89226,2019,100,5738839,1,1.18163,0.84629,0.98557
"2024may23","petite","002","1",18.03626,2799.95525,470.93709,2029,6393,85.93751,21.1407,16.03974,5.20814,4.40934,35.51051,0.88097,50500.7287,2691,100,9447049,1,1.18116,0.84663,0.98698
"2024may23","petite","002","1",13.72231,3967.11804,1126.16024,2656,8059,72.75739,21.79569,14.1963,4.51367,3.87086,19.3993,0.85563,54438.03846,3579,100,10183592,1,1.16607,0.85758,0.98033
"2024may23","petite","002","1",20.7679,2703.5758,1230.89811,1691,7318,331.23793,36.47277,17.27748,5.75352,4.59588,166.98911,0.87426,56147.5811,2188,100,10503392,1,1.25189,0.79879,0.98504
"2024may23","petite","002","1",14.38518,2571.94872,663.98094,1897,6686,300.49369,37.31607,14.66007,4.95548,3.69606,104.92052,0.84111,36997.93453,2391,100,6921114,1,1.34075,0.74585,0.9814
"2024may23","petite","002","1",19.52236,1948.72043,576.78406,1420,6774,336.78341,38.26965,17.00276,5.65695,4.394,170.22761,0.8486,38043.61547,1817,100,7116727,1,1.28743,0.77674,0.98437
"2024may23","petite","002","1",15.29394,3068.61272,560.75604,2227,5934,306.72726,39.08546,15.32329,5.15391,3.77827,29.20803,0.81851,46931.17375,2918,100,8779301,1,1.36409,0.73309,0.97862
"2024may23","petite","002","1",15.67348,2402.52626,213.92043,1900,3580,315.21235,39.24358,15.00575,4.90097,4.07186,151.94831,0.8747,37655.94808,2363,100,7044207,1,1.20362,0.83083,0.98472
"2024may23","petite","002","1",17.2451,4509.62802,667.27492,3717,7244,302.19589,42.00168,15.69406,4.89066,4.48961,75.78952,0.87984,77769.00821,4258,100,14548060,1,1.08933,0.918,0.98279
"2024may23","petite","002","1",18.4853,2479.11365,579.05336,1839,5991,280.84432,43.29376,16.31445,5.48368,4.29205,117.23519,0.87275,45827.1556,2266,100,8572775,1,1.27764,0.7827,0.98814
"2024may23","petite","002","1",19.04659,3789.83497,1206.07313,2578,8341,317.7064,45.64527,16.62465,5.42631,4.46913,118.52455,0.86601,72183.44383,3307,100,13503182,1,1.21418,0.8236,0.9829
"2024may23","petite","002","1",16.15994,2755.03407,582.89976,1989,6257,88.17486,49.87319,15.27312,4.92624,4.17671,72.80286,0.87055,44521.17301,2548,100,8328468,1,1.17946,0.84785,0.98389
"2024may23","petite","002","1",16.93506,5073.69097,1442.73636,3838,11236,297.12497,50.63717,15.69406,5.24003,4.11494,18.1371,0.86402,85923.24326,4490,100,16073453,1,1.27342,0.78529,0.98661
"2024may23","petite","002","1",12.67456,2816.67946,831.88907,1978,7750,101.49429,50.8143,13.40459,4.21771,3.82619,33.75698,0.88641,35700.18426,2522,100,6678347,1,1.10232,0.90717,0.98402
"2024may23","petite","002","1",15.49707,2877.13625,732.48268,2191,8235,109.87048,52.22885,14.92744,5.05772,3.90126,140.47354,0.87395,44587.19194,2616,100,8340818,1,1.29643,0.77135,0.98689
"2024may23","petite","002","1",14.25688,3542.5973,913.61897,2757,7383,309.08604,53.36155,14.13573,4.46817,4.06261,130.99164,0.8966,50506.38441,3165,100,9448107,1,1.09983,0.90923,0.98833
